Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
3,Boston Celtics,2012,11,16,23,30,5,21,24,7,16,16,9,24,27,5,30,14,30,2,16,5,17,18,26,9,1,7,1,2,3,1,4,15,2,18,19,22,21,21,21,1,15,8,5,24,2,10,10,9,9,11,18,12,25,1,21,22,24,10,25,30,17,2,4,20,19,TD Garden,11
4,San Antonio Spurs,2012,10,16,1,7,1,2,7,1,10,21,3,18,17,19,25,5,9,4,20,24,3,2,2,9,25,25,17,9,10,19,25,26,14,2,2,18,2,15,10,5,5,15,24,21,16,1,1,2,2,2,15,2,1,10,7,20,7,1,3,24,19,15,24,1,2,AT&T Center,12
5,Philadelphia 76ers,2012,7,23,9,5,15,24,25,8,4,3,25,30,30,21,22,6,7,10,11,12,1,4,22,6,3,11,3,3,2,6,10,20,3,6,6,14,4,29,25,5,1,11,21,30,3,16,16,5,5,5,26,5,20,3,24,30,25,19,1,25,30,3,19,4,8,Wells Fargo Center,14
6,Indiana Pacers,2012,6,8,21,16,24,19,22,6,19,11,28,2,3,3,6,9,4,29,15,9,5,28,13,22,8,12,6,20,22,16,4,9,6,24,25,2,24,11,16,5,3,27,10,4,10,5,5,6,6,7,27,9,7,9,19,3,21,23,7,5,2,6,11,21,22,Bankers Life Fieldhouse,29
7,Los Angeles Lakers,2012,5,3,14,21,7,21,19,25,8,13,6,8,9,16,8,1,2,6,30,11,19,1,15,26,22,30,9,20,25,14,22,28,7,1,1,6,19,7,9,23,28,8,30,10,15,6,6,13,13,13,5,13,10,13,20,9,18,13,19,6,8,6,30,5,1,STAPLES Center,8
8,Los Angeles Clippers,2012,4,10,13,17,10,4,5,12,21,26,7,21,10,29,8,27,21,13,6,20,2,25,14,16,4,1,14,26,22,27,2,1,12,27,27,8,6,5,1,16,2,5,16,5,13,8,8,9,9,10,14,7,4,18,26,11,5,7,2,4,19,20,8,14,28,STAPLES Center,7
9,Denver Nuggets,2012,3,6,2,15,2,15,13,23,3,17,1,3,1,25,16,7,8,1,9,16,25,17,1,24,27,26,23,30,30,30,12,11,19,7,6,20,14,6,5,27,18,30,6,1,28,11,11,9,9,9,13,6,3,20,2,2,12,2,18,12,3,26,7,8,4,Pepsi Center,16
10,Memphis Grizzlies,2012,3,16,16,12,16,27,28,25,2,2,21,10,12,13,5,22,16,24,1,12,14,18,20,9,4,3,11,12,13,11,4,4,12,20,22,25,9,8,7,4,15,22,1,18,5,6,6,12,12,12,7,10,19,7,18,13,28,24,15,3,10,11,1,19,25,FedEx Forum,20
11,Atlanta Hawks,2012,2,1,14,19,11,7,10,5,20,23,10,23,24,23,28,11,23,8,10,23,5,6,17,29,14,16,11,5,6,10,16,20,11,4,5,15,6,23,16,12,7,10,9,20,6,8,8,6,6,6,29,8,16,6,22,21,10,8,11,26,24,10,6,7,5,Philips Arena,23
12,Chicago Bulls,2012,2,16,9,7,12,17,18,3,12,8,18,27,23,27,1,2,1,5,24,3,5,2,18,9,6,19,2,1,1,3,14,30,1,3,3,4,17,1,3,2,5,19,26,28,1,1,1,1,1,1,28,1,5,2,28,24,20,14,8,1,26,1,26,8,3,United Center,1
13,New York Knicks,2012,1,16,20,20,17,4,2,21,27,29,8,7,7,22,15,17,18,18,2,26,29,24,11,9,10,6,10,20,20,23,7,6,9,22,24,3,8,16,14,2,24,18,2,2,11,13,13,6,6,8,30,11,17,5,5,6,2,11,27,18,6,11,2,12,23,Madison Square Garden (IV),5
14,Orlando Magic,2012,1,10,26,27,21,1,1,3,30,30,16,28,12,30,16,12,12,20,25,26,18,5,21,16,12,9,15,12,11,13,11,12,14,5,4,30,1,17,12,12,7,2,29,13,7,12,12,14,14,15,20,17,15,12,29,10,1,4,23,20,23,14,24,2,7,Amway Center,9
15,Utah Jazz,2012,0,1,3,4,9,28,29,27,1,1,12,5,4,17,3,14,3,11,7,4,11,29,4,29,15,13,18,16,22,7,13,10,22,29,29,16,9,9,10,12,7,23,13,7,23,13,13,16,16,16,12,15,6,19,12,8,29,17,5,2,6,22,15,11,28,EnergySolutions Arena,6
16,Dallas Mavericks,2012,0,3,19,14,17,7,4,20,24,25,10,22,26,9,27,3,11,14,4,14,5,8,19,26,11,17,6,28,29,12,7,7,8,11,11,12,9,28,26,12,29,1,13,24,12,13,13,14,14,14,1,14,22,8,12,27,4,15,11,28,25,8,13,5,14,American Airlines Center,3
1,Miami Heat,2013,16,5,5,30,1,3,6,2,19,28,1,12,9,16,28,15,30,7,3,9,4,8,5,24,5,10,5,20,24,11,4,5,9,8,7,27,19,5,5,5,16,1,5,9,5,1,1,2,2,2,30,2,2,9,23,8,5,1,12,26,6,9,4,23,13,AmericanAirlines Arena,3
2,San Antonio Spurs,2013,15,5,2,19,2,7,7,4,6,22,3,15,21,3,29,3,20,1,5,9,16,1,4,24,18,26,8,4,4,12,25,30,4,4,4,21,16,16,18,8,21,15,12,21,11,3,3,4,4,4,11,3,7,3,6,20,9,2,19,29,13,5,13,3,3,AT&T Center,10
3,Indiana Pacers,2013,11,12,29,24,26,16,15,22,27,20,24,7,8,19,3,5,1,27,22,4,23,14,23,19,2,16,1,1,2,1,7,27,1,8,8,21,19,8,8,2,9,20,24,3,2,8,8,8,7,8,29,9,19,1,25,9,11,22,26,4,7,1,26,5,10,Bankers Life Fieldhouse,25
4,Memphis Grizzlies,2013,8,17,23,17,21,30,30,24,2,1,25,16,16,9,3,24,11,24,4,12,5,16,26,10,1,1,3,3,6,2,2,4,3,7,10,11,3,4,1,4,6,19,6,13,1,5,5,6,6,7,13,6,17,2,30,17,30,28,8,2,16,3,2,9,20,FedEx Forum,19
5,Golden State Warriors,2013,6,17,6,9,10,8,13,1,16,14,18,13,16,4,21,1,2,15,27,27,23,29,7,10,14,25,4,27,29,7,8,12,9,24,24,11,16,20,19,24,21,15,24,19,19,10,10,11,11,12,6,11,11,14,4,22,14,10,19,21,17,8,28,1,22,Oracle Arena,5
6,New York Knicks,2013,6,27,19,15,15,1,1,4,30,30,11,21,20,13,18,25,25,30,11,30,1,15,11,1,5,2,18,25,25,14,3,1,23,17,16,16,1,19,10,3,1,3,11,19,7,7,7,7,7,6,27,7,3,18,26,20,1,7,1,19,21,22,4,4,23,Madison Square Garden (IV),7
7,Oklahoma City Thunder,2013,5,13,7,29,2,13,16,3,11,21,5,1,2,1,25,3,6,21,9,1,27,16,3,15,9,27,2,15,22,5,5,22,2,16,12,28,27,3,6,6,21,2,13,8,9,2,2,1,1,1,15,1,1,4,10,2,12,3,29,15,1,2,18,16,10,Chesapeake Energy Arena,11
8,Chicago Bulls,2013,5,13,27,13,25,29,29,20,14,6,28,17,19,9,6,14,8,7,22,15,10,12,28,15,4,8,9,2,1,5,15,24,5,14,18,6,11,10,9,1,6,21,22,17,3,11,11,13,13,14,21,14,23,6,27,19,29,29,10,5,17,4,21,13,16,United Center,1
9,Brooklyn Nets,2013,3,8,25,27,13,9,7,17,28,25,13,9,7,24,5,20,10,27,19,17,16,4,17,20,16,9,23,4,3,21,23,21,20,1,1,1,5,2,3,8,9,12,26,5,6,8,9,10,10,10,28,12,8,17,28,7,7,13,19,3,7,20,23,12,2,Barclays Center,16
10,Denver Nuggets,2013,2,4,1,2,4,20,19,25,1,3,4,6,3,28,1,10,2,3,2,3,27,20,1,27,22,29,11,29,29,20,13,19,12,15,21,1,29,6,10,25,18,28,3,4,23,4,4,5,5,5,10,5,5,11,2,4,22,7,10,1,9,13,8,27,7,Pepsi Center,14
11,Houston Rockets,2013,2,22,7,10,9,2,1,8,29,29,6,3,4,16,17,7,7,5,9,24,30,18,2,7,25,28,15,28,27,22,21,22,16,17,12,29,5,12,10,18,28,26,13,9,28,11,11,9,9,9,12,8,6,16,1,4,2,5,30,17,4,19,18,2,9,Toyota Center,18
12,Los Angeles Clippers,2013,2,27,4,24,4,10,9,15,9,23,2,17,9,27,15,17,17,4,1,7,13,24,8,1,3,3,9,20,17,26,1,2,6,24,24,13,10,1,1,14,8,4,1,7,4,5,5,3,3,3,14,4,4,8,19,10,8,4,16,7,15,10,1,15,29,STAPLES Center,6
13,Atlanta Hawks,2013,2,8,11,21,7,5,4,7,22,26,8,28,27,26,27,11,23,2,14,22,21,3,13,20,18,20,13,20,13,28,15,20,9,3,3,26,21,26,25,15,25,6,9,25,13,14,14,13,13,13,25,15,18,10,12,25,4,6,24,26,26,15,9,13,4,Philips Arena,26
14,Boston Celtics,2013,2,1,17,28,6,25,26,15,9,17,9,19,21,6,29,12,29,10,11,22,13,26,18,30,8,15,7,10,13,4,10,15,8,23,24,8,22,24,23,11,13,10,7,18,12,16,16,16,15,16,24,17,24,7,16,16,24,12,23,30,13,6,9,19,23,TD Garden,12
15,Los Angeles Lakers,2013,0,25,15,21,10,3,3,19,26,27,7,2,1,30,13,2,4,17,25,14,22,2,6,5,30,30,14,18,20,14,29,29,14,2,2,3,23,14,19,22,28,12,29,1,22,11,11,11,11,11,9,10,9,20,5,1,3,9,16,13,2,15,29,9,1,STAPLES Center,8
16,Milwaukee Bucks,2013,0,13,7,1,27,13,11,13,11,2,27,26,23,22,2,13,5,9,7,2,8,9,12,15,23,24,15,7,8,8,28,28,14,21,19,19,29,29,30,21,18,7,2,21,20,18,18,18,18,19,21,18,22,12,3,27,16,24,3,11,26,10,6,28,15,BMO Harris Bradley Center,27
1,San Antonio Spurs,2014,16,25,1,12,2,12,16,1,3,14,4,27,30,4,26,4,12,1,20,8,11,1,6,3,14,24,8,1,1,9,26,28,6,4,4,19,10,14,11,6,15,14,25,25,6,1,1,1,1,1,15,1,6,3,10,30,16,2,12,24,27,4,23,4,3,AT&T Center,9
2,Miami Heat,2014,13,7,12,30,1,14,15,12,12,29,1,15,17,14,30,30,30,11,2,18,16,8,12,22,5,2,15,24,26,18,2,2,19,9,10,5,16,2,2,12,23,1,2,16,5,5,5,4,4,5,24,7,5,11,27,9,6,1,28,29,8,20,1,24,13,AmericanAirlines Arena,4
3,Oklahoma City Thunder,2014,10,20,6,14,6,14,14,14,6,21,5,5,8,2,18,6,6,13,9,2,24,28,5,10,8,16,3,27,28,14,3,8,4,17,25,1,18,4,3,13,24,5,9,16,12,2,2,3,3,3,13,3,6,6,9,8,14,6,19,14,5,6,10,9,16,Chesapeake Energy Arena,11
4,Indiana Pacers,2014,10,22,26,27,16,22,25,17,22,18,21,12,15,7,22,1,6,27,27,5,19,13,24,7,1,14,1,3,5,4,4,23,1,6,6,11,8,7,5,1,6,14,26,6,2,4,4,4,4,7,29,8,23,1,20,13,22,19,26,21,9,1,22,2,9,Bankers Life Fieldhouse,15
5,Los Angeles Clippers,2014,6,25,4,16,3,12,8,22,11,23,3,3,2,26,21,10,13,3,4,12,7,20,1,3,13,23,5,9,14,1,18,21,10,22,22,11,29,11,25,25,3,3,7,3,14,3,3,2,2,2,14,2,1,9,7,2,7,4,5,20,2,5,12,26,17,STAPLES Center,7
6,Washington Wizards,2014,6,1,9,9,10,16,19,4,6,9,12,29,25,25,18,17,20,7,11,15,15,13,16,30,11,7,17,12,12,5,14,8,21,14,13,23,4,20,11,17,15,7,4,23,8,14,14,15,15,15,30,15,16,7,18,25,18,11,13,17,30,14,2,7,15,Verizon Center,18
7,Portland Trail Blazers,2014,5,10,4,3,14,2,3,7,18,17,15,7,13,1,2,4,1,9,30,14,4,6,4,17,27,28,11,1,1,11,29,30,8,10,9,26,24,19,22,6,18,6,30,12,22,5,5,8,8,8,9,6,2,16,11,18,10,14,3,3,13,6,30,13,7,Moda Center,5
8,Brooklyn Nets,2014,5,7,29,29,10,10,10,11,30,28,9,10,9,18,28,28,29,24,4,28,12,21,21,22,7,4,17,17,16,22,6,3,16,21,20,19,21,13,18,9,10,9,6,11,10,14,14,19,19,19,23,20,14,18,25,5,4,10,22,27,7,18,3,28,25,Barclays Center,17
9,Dallas Mavericks,2014,3,15,2,11,3,8,12,2,10,19,6,20,23,3,22,23,26,6,4,21,3,10,8,12,14,10,22,22,24,15,13,7,26,20,19,17,24,9,16,15,15,3,4,21,19,10,10,10,10,12,7,11,3,22,16,23,13,4,5,23,19,24,5,25,22,American Airlines Center,2
10,Golden State Warriors,2014,3,15,3,6,9,2,6,4,13,20,10,25,23,18,17,2,4,7,13,10,22,22,10,12,9,22,3,7,9,3,15,25,3,22,20,23,13,24,20,8,21,10,11,25,10,8,8,4,4,4,12,4,12,4,6,29,7,8,15,18,28,3,16,5,18,Oracle Arena,6
11,Toronto Raptors,2014,3,2,23,23,21,9,10,7,28,23,23,6,7,5,11,20,17,20,25,23,9,29,13,28,5,6,9,7,6,16,10,14,9,24,24,7,8,5,4,9,9,11,13,5,7,11,11,9,9,9,28,12,10,10,23,6,11,15,11,9,6,10,7,12,26,Air Canada Centre,10
12,Atlanta Hawks,2014,3,15,18,24,13,2,2,13,27,27,8,17,22,6,29,18,28,2,9,25,24,6,14,12,23,19,21,14,15,20,19,16,19,7,7,4,16,25,22,24,24,11,9,20,15,18,18,16,16,17,18,16,18,14,13,21,2,9,26,28,16,19,8,16,8,Philips Arena,28
13,Memphis Grizzlies,2014,3,20,14,22,7,30,30,19,1,1,11,30,29,23,9,21,19,13,14,15,4,4,27,10,3,3,9,12,11,11,4,6,11,5,4,26,2,1,1,4,6,19,18,29,3,9,9,14,14,14,6,13,15,7,30,25,30,18,10,2,29,12,12,7,10,FedEx Forum,20
14,Houston Rockets,2014,2,15,15,26,5,1,1,15,25,30,2,1,1,28,15,3,4,18,17,3,29,13,2,12,24,29,7,17,24,9,21,26,7,10,11,15,27,3,8,17,28,23,22,1,23,5,5,7,7,6,7,5,4,13,5,1,1,3,28,6,1,8,27,20,6,Toyota Center,13
15,Chicago Bulls,2014,1,4,30,27,30,26,28,24,25,13,30,12,15,7,11,9,10,10,21,7,17,4,30,26,2,9,2,3,3,7,7,19,2,2,3,9,13,6,7,2,14,28,16,9,1,11,11,13,13,13,26,14,28,2,29,13,25,30,24,9,9,2,15,11,4,United Center,1
16,Charlotte Bobcats,2014,0,6,25,21,25,25,27,23,13,8,27,14,9,24,25,7,15,16,29,8,1,1,23,25,10,16,6,17,16,24,9,15,4,2,1,18,1,28,20,9,1,21,28,9,4,16,16,16,16,16,27,17,24,5,21,10,27,25,1,26,15,9,26,1,2,Time Warner Cable Arena,25
1,Golden State Warriors,2015,16,26,1,3,1,2,4,1,9,21,2,23,26,9,21,4,6,1,4,2,18,13,1,2,10,27,1,5,7,5,15,28,1,24,23,27,27,18,24,9,25,2,5,26,15,1,1,1,1,1,16,1,2,1,1,26,7,1,14,21,25,1,7,18,22,Oracle Arena,7
2,Cleveland Cavaliers,2015,14,23,15,24,8,3,2,5,28,29,7,9,11,17,11,20,18,10,19,25,17,5,8,7,22,15,20,10,15,9,18,15,24,1,1,9,12,4,3,30,15,10,22,11,13,7,7,5,5,5,23,6,3,18,25,10,2,4,18,6,7,19,22,16,1,Quicken Loans Arena,2
3,Houston Rockets,2015,9,20,21,12,20,1,1,14,29,30,4,5,2,27,6,17,14,9,3,9,28,27,6,9,15,25,12,7,17,1,18,23,16,20,19,16,29,13,19,12,29,21,3,7,17,3,3,7,7,7,8,7,12,8,2,2,1,7,28,6,6,7,5,28,15,Toyota Center,14
4,Atlanta Hawks,2015,8,26,10,27,4,5,7,2,26,28,4,19,24,5,30,22,28,2,5,15,15,1,10,2,8,11,6,28,30,7,2,2,13,3,2,28,24,14,17,24,8,18,6,20,5,2,2,4,4,4,30,4,6,6,15,21,4,3,19,30,15,12,3,22,5,Philips Arena,17
5,Los Angeles Clippers,2015,7,26,3,12,2,3,5,3,18,26,1,7,4,28,28,10,20,3,13,9,2,23,2,2,7,7,10,21,25,14,5,5,12,28,28,5,9,16,12,21,2,1,15,3,16,3,3,2,2,2,12,2,1,15,10,6,3,2,2,28,8,14,16,9,27,STAPLES Center,9
6,Chicago Bulls,2015,6,8,23,18,22,15,16,10,22,19,23,3,4,3,6,7,3,14,28,5,12,2,15,19,15,29,3,3,3,2,27,29,2,5,8,15,27,9,14,5,10,23,28,6,9,9,9,7,7,10,24,10,11,11,21,5,15,20,12,5,3,2,29,19,2,United Center,1
7,Washington Wizards,2015,6,1,9,20,6,26,27,9,2,4,13,25,22,21,19,5,6,6,20,15,23,17,17,29,6,15,2,16,19,14,5,12,2,18,20,4,5,9,6,2,21,6,18,20,9,12,12,13,13,14,27,15,22,5,18,21,28,13,22,15,23,5,19,3,18,Verizon Center,13
8,Memphis Grizzlies,2015,6,6,13,23,8,29,29,22,1,2,19,10,14,7,21,15,20,14,6,24,6,8,20,24,3,4,10,18,19,18,3,6,10,2,2,6,8,11,8,4,8,20,8,13,2,5,5,7,7,8,8,8,13,3,26,13,29,20,9,16,9,12,6,11,4,FedEx Forum,18
9,San Antonio Spurs,2015,3,1,4,11,3,12,15,5,7,16,6,16,22,4,27,8,15,5,11,8,12,8,7,29,12,17,13,4,1,24,18,27,5,9,10,9,3,15,7,7,18,8,16,19,3,5,5,2,2,3,14,3,7,2,16,24,15,5,14,25,17,6,14,3,9,AT&T Center,12
10,Brooklyn Nets,2015,2,3,18,17,16,23,20,26,9,12,12,18,18,19,24,17,22,20,22,25,10,11,21,26,25,19,20,24,24,23,16,14,21,4,9,2,21,19,23,26,15,10,20,18,18,18,18,21,21,22,19,24,20,23,24,16,20,18,13,23,17,24,19,20,5,Barclays Center,20
11,Milwaukee Bucks,2015,2,3,16,25,7,23,26,7,6,8,15,23,25,12,15,25,24,7,1,11,28,28,22,26,1,4,5,20,26,8,1,2,9,22,22,6,21,7,12,17,27,15,1,17,8,15,15,15,15,15,26,16,26,3,13,23,25,13,29,13,21,8,1,24,24,BMO Harris Bradley Center,29
12,Dallas Mavericks,2015,1,8,2,6,5,7,8,11,9,20,3,15,16,16,19,22,23,8,9,18,4,14,3,19,19,21,16,30,28,27,11,8,14,16,13,18,30,26,29,17,7,4,4,2,25,9,9,10,10,11,7,9,5,19,9,19,9,6,3,24,20,21,4,29,14,American Airlines Center,3
13,Portland Trail Blazers,2015,1,13,8,5,17,6,3,8,21,22,11,27,28,1,15,1,2,12,27,18,9,2,9,14,24,30,6,1,1,6,29,30,5,6,7,22,15,23,25,6,21,2,28,28,11,8,8,5,5,6,13,5,8,10,12,30,6,8,9,20,27,3,29,7,2,Moda Center,8
14,Toronto Raptors,2015,0,13,11,12,12,7,9,11,20,23,8,4,6,2,15,27,26,22,18,23,3,18,4,14,19,10,26,10,13,12,18,12,28,14,18,3,19,6,9,19,4,19,13,13,18,11,11,10,10,9,29,12,4,24,21,8,8,8,4,11,4,24,13,24,15,Air Canada Centre,5
15,Boston Celtics,2015,0,8,5,1,21,13,13,27,7,10,13,28,27,14,11,11,13,4,8,30,10,20,13,19,22,23,16,7,10,4,23,24,18,19,17,20,13,25,26,14,6,21,10,26,21,16,16,18,18,18,28,19,18,12,5,28,13,20,7,16,29,15,11,14,15,TD Garden,16
16,New Orleans Pelicans,2015,0,23,11,18,10,19,23,4,9,9,20,20,20,17,10,17,16,11,25,1,6,6,16,7,17,11,20,2,3,2,28,26,21,12,10,23,9,5,5,7,3,28,28,28,11,13,13,13,13,13,10,13,8,22,27,18,23,10,7,4,19,16,28,13,11,Smoothie King Center,24
1,Cleveland Cavaliers,2016,16,9,8,19,9,2,3,7,24,29,4,26,24,21,12,8,9,13,27,26,10,13,8,21,5,4,14,8,7,11,5,10,15,9,11,5,5,8,5,8,6,7,23,12,4,3,3,4,4,4,30,4,3,10,27,22,3,3,13,9,23,12,20,5,14,Quicken Loans Arena,2
2,Golden State Warriors,2016,15,5,1,3,1,1,1,1,16,25,1,22,23,16,20,1,4,1,9,2,24,17,1,23,21,29,3,5,13,2,25,29,4,22,23,17,24,9,15,16,24,3,15,19,19,1,1,2,2,1,28,1,1,5,2,25,2,1,19,19,25,2,20,15,17,Oracle Arena,7
3,Oklahoma City Thunder,2016,11,11,2,5,3,17,17,17,3,11,2,4,7,10,1,2,1,10,20,4,26,16,2,13,15,27,5,12,14,8,21,28,6,18,18,15,22,1,2,9,26,9,26,15,15,5,5,3,3,3,24,3,2,13,10,8,19,3,24,1,5,5,27,15,14,Chesapeake Energy Arena,14
4,Toronto Raptors,2016,10,23,27,28,15,13,19,4,23,20,18,2,3,12,19,18,16,29,15,11,4,9,13,6,4,4,11,17,12,29,2,7,5,5,6,8,8,3,4,12,1,20,23,3,3,4,4,5,5,5,29,6,5,11,29,3,15,12,6,12,2,14,18,7,10,Air Canada Centre,4
5,Miami Heat,2016,7,11,13,27,4,27,28,27,4,9,8,18,14,23,22,6,13,23,27,1,14,4,23,13,8,13,9,3,3,11,19,24,6,5,5,27,10,6,6,2,10,3,27,20,5,7,7,10,10,12,21,12,13,9,25,11,27,11,18,17,13,6,25,6,6,AmericanAirlines Arena,6
6,San Antonio Spurs,2016,6,29,3,24,2,25,25,2,1,7,3,25,28,2,25,5,14,3,10,4,4,1,10,1,2,3,4,1,1,1,9,23,2,1,1,19,4,5,3,3,6,2,14,21,1,2,2,1,1,2,25,2,4,1,24,26,25,2,9,23,21,1,8,3,2,AT&T Center,12
7,Portland Trail Blazers,2016,5,19,9,8,16,5,6,4,22,21,15,14,14,19,3,8,5,21,25,18,17,25,6,9,15,14,16,15,8,26,18,21,12,26,27,2,15,12,13,11,15,15,23,21,20,12,12,13,13,13,10,13,6,20,12,17,7,8,16,3,19,15,25,13,25,Moda Center,8
8,Atlanta Hawks,2016,4,11,9,15,11,6,7,15,19,24,7,29,30,8,30,13,24,2,3,4,22,7,12,13,7,26,1,13,16,5,5,20,1,8,6,13,26,25,27,14,23,14,5,29,6,7,7,7,7,7,20,7,21,2,8,29,6,6,22,30,29,3,5,25,5,Philips Arena,23
9,Charlotte Hornets,2016,3,9,24,15,24,4,4,7,30,28,24,7,11,5,28,4,14,19,22,12,1,3,11,21,11,18,11,18,23,14,5,14,14,3,4,25,2,29,22,21,2,21,21,13,9,7,7,9,9,9,25,9,9,8,17,13,4,13,1,29,7,12,23,1,4,Time Warner Cable Arena,18
10,Indiana Pacers,2016,3,5,15,13,16,18,20,14,13,13,17,14,17,15,17,8,11,22,4,16,20,11,17,23,9,16,6,13,18,3,9,17,12,14,13,10,17,18,20,3,15,9,7,13,8,11,11,10,10,11,19,11,24,3,11,17,20,20,19,20,16,10,6,15,14,Bankers Life Fieldhouse,22
11,Boston Celtics,2016,2,23,7,1,24,12,11,28,12,10,18,8,12,6,3,15,6,6,2,22,11,29,5,6,10,18,7,5,10,4,15,21,11,27,27,13,24,22,26,6,13,21,2,10,13,7,7,8,8,8,27,8,10,4,3,20,13,24,3,9,14,8,3,25,27,TD Garden,13
12,Los Angeles Clippers,2016,2,11,15,25,6,8,9,6,20,25,6,11,4,29,29,15,25,11,7,10,3,24,7,13,5,14,2,8,10,5,5,19,3,24,25,10,28,23,29,7,4,1,9,1,7,6,6,5,5,6,22,5,7,5,14,4,9,3,3,28,8,3,10,28,24,STAPLES Center,10
